Java HotSpot(TM) 64-Bit Server VM (25.92-b14) for bsd-amd64 JRE (1.8.0_92-b14), built on Mar 31 2016 21:23:14 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1273236k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseG1GC 
2020-10-28T13:05:44.352-0800: 0.214: [GC pause (G1 Evacuation Pause) (young) 204M->73M(4096M), 0.0268999 secs]
2020-10-28T13:05:44.416-0800: 0.278: [GC pause (G1 Evacuation Pause) (young) 251M->129M(4096M), 0.0226487 secs]
2020-10-28T13:05:44.469-0800: 0.332: [GC pause (G1 Evacuation Pause) (young) 307M->185M(4096M), 0.0234432 secs]
2020-10-28T13:05:44.521-0800: 0.383: [GC pause (G1 Evacuation Pause) (young) 363M->248M(4096M), 0.0252339 secs]
2020-10-28T13:05:44.575-0800: 0.437: [GC pause (G1 Evacuation Pause) (young) 426M->308M(4096M), 0.0225161 secs]
2020-10-28T13:05:44.625-0800: 0.488: [GC pause (G1 Evacuation Pause) (young) 486M->366M(4096M), 0.0235515 secs]
2020-10-28T13:05:44.677-0800: 0.539: [GC pause (G1 Evacuation Pause) (young) 544M->424M(4096M), 0.0237124 secs]
2020-10-28T13:05:44.732-0800: 0.594: [GC pause (G1 Evacuation Pause) (young) 616M->487M(4096M), 0.0262800 secs]
2020-10-28T13:05:44.813-0800: 0.675: [GC pause (G1 Evacuation Pause) (young) 731M->560M(4096M), 0.0350684 secs]
2020-10-28T13:05:44.898-0800: 0.760: [GC pause (G1 Evacuation Pause) (young) 816M->640M(4096M), 0.0355548 secs]
2020-10-28T13:05:45.050-0800: 0.912: [GC pause (G1 Evacuation Pause) (young) 1048M->746M(4096M), 0.0486722 secs]
2020-10-28T13:05:45.166-0800: 1.028: [GC pause (G1 Evacuation Pause) (young) 1108M->827M(4096M), 0.0382238 secs]
